Name,Address,City,Zip,COUNTY,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,x,y
SECOND HARVEST FOOD BANK OF CENTRAL FLORIDA - VOLUSIA (BRANCH),320 NORTH ST,DAYTONA BEACH,32114,VOLUSIA,"-81.02959115,29.22176798",17R MN 97123 32556,,,FOOD BANK,-9020172.825827492,3403902.522382198
FLORIDA GATEWAY FOOD BANK,553 NW RAILROAD ST,LAKE CITY,32055,COLUMBIA,"-82.64510909,30.19646460",17R LP 41635 41699,,,FOOD BANK,-9200011.460364211,3528828.61595588
SECOND HARVEST FOOD BANK OF CENTRAL FLORIDA - ORLANDO,411 MERCY DR,ORLANDO,32805,ORANGE,"-81.42957432,28.54827015",17R MM 57978 58014,,,FOOD BANK,-9064698.74838071,3318275.624430897
FEEDING SOUTH FLORIDA,2501 SW 32ND TER,PEMBROKE PARK,33023,BROWARD,"-80.17325752,25.98729507",17R NJ 82749 74538,,,FOOD BANK,-8924846.202535072,2997507.469051217
NAPLES BRANCH OF HARRY CHAPIN,2221 CORPORATION BLVD,NAPLES,34109,COLLIER,"-81.77396223,26.22317237",17R MK 22689 00629,,,FOOD BANK,-9103035.835149102,3026748.155309234
ALL FAITHS FOOD BANK,8171 BLAIKIE CT,SARASOTA,34240,SARASOTA,"-82.40200940,27.34731112",17R LL 61321 25683,,,FOOD BANK,-9172949.72671177,3166931.099584085
AMERICA'S SECOND HARVEST FOOD BANK OF THE BIG BEND,110 FOUR POINTS WAY,TALLAHASSEE,32305,LEON,"-84.28386705,30.40108414",16R GU 60952 66361,,,FOOD BANK,-9382437.162023004,3555210.35802134
FLORIDA ASSOCIATION OF FOOD BANKS  (FAFB - TALLAHASSEE OFFICE),200 W COLLEGE AVE STE 120,TALLAHASSEE,32301,LEON,"-84.28344254,30.44090805",16R GU 60887 70778,,,FOOD BANK,-9382389.905460194,3560351.2982313135
HARRY CHAPIN FOOD BANK,3760 FOWLER ST,FORT MYERS,33901,LEE,"-81.86243500,26.60733000",17R MK 14136 43234,,,FOOD BANK,-9112884.579312604,3074497.896507935
TREASURE COAST (OUTREACH CENTER),1203 ORANGE AVE,FORT PIERCE,34946,ST. LUCIE,"-80.33595508,27.44682823",17R NL 65621 36102,,,FOOD BANK,-8942957.611515615,3179408.809075931
FOOD BANK OF MANATEE (BY MEALS ON WHEELS PLUS OF MANATEE),811 23RD AVE E,BRADENTON,34208,MANATEE,"-82.55605379,27.47971874",17R LL 46265 40533,,,FOOD BANK,-9190097.869718188,3183535.1780495243
FEEDING AMERICA TAMPA BAY (BRANCH),5829 EHREN CUTOFF,LAND O' LAKES,34639,PASCO,"-82.45880085,28.24302449",17R LM 56881 24986,,,FOOD BANK,-9179271.722225443,3279648.3124049315
TREASURE COAST FOOD BANK,401 ANGLE RD,FORT PIERCE,34947,ST. LUCIE,"-80.36075255,27.45098942",17R NL 63168 36550,,,FOOD BANK,-8945718.053494241,3179930.7941556904
HEARTLAND FOOD RESIVOIR,227 US HWY 27 S,SEBRING,33872,HIGHLANDS,"-81.48060751,27.48380644",17R ML 52521 40115,,,FOOD BANK,-9070379.737253286,3184048.0971247526
FEEDING SOUTH FLORIDA (BRANCH),426 CLAREMORE DR,WEST PALM BEACH,33401,PALM BEACH,"-80.05540669,26.69433199",17R NK 93972 52928,,,FOOD BANK,-8911727.108081331,3085334.2000574586
FEEDING AMERICA TAMPA BAY,4702 TRANSPORT DR BLDG 6,TAMPA,33605,HILLSBOROUGH,"-82.40709276,27.95906076",17R LL 61590 93464,,,FOOD BANK,-9173515.603634415,3243813.2678385326
SECOND HARVEST FOOD BANK OF CENTRAL FLORIDA - BREVARD (BRANCH),6928A VICKIE CIR,WEST MELBOURNE,32904,BREVARD,"-80.66875600,28.09443800",17R NM 32540 07708,,,FOOD BANK,-8980004.840831779,3260885.4865735574
BREAD OF THE MIGHTY,325 NW 10TH AVE,GAINESVILLE,32601,ALACHUA,"-82.32852711,29.66075828",17R LN 71427 81933,,,FOOD BANK,-9164769.716145959,3460017.593274889
AGAPE FOOD BANK,625 MCCUE RD STE 2,LAKELAND,33815,POLK,"-82.03476200,28.03560800",17R LM 98289 01578,,,FOOD BANK,-9132067.933218583,3253463.885905852
COMM FOOD BANK OF CITRUS COUNTY,5259 W CARDINAL ST BLDG B,HOMOSASSA,34446,CITRUS,"-82.52076679,28.76520101",17R LM 51534 82920,,,FOOD BANK,-9186169.739034183,3345795.1928500645
FIRST STEP FOOD BANK,4045 NE 36TH AVE,OCALA,34479,MARION,"-82.08646312,29.22836654",17R LN 94408 33775,,,FOOD BANK,-9137823.275185743,3404744.2105107014
BAY AREA FOOD BANK,5709 INDUSTRIAL BLVD,MILTON,32583,SANTA ROSA,"-86.98477179,30.64103404",16R EU 01459 89820,,,FOOD BANK,-9683100.502673531,3586217.80375074
FLORIDA ASSOCIATION OF FOOD BANKS  (FAFB),1365 ALCAZAR AVE,FORT MYERS,33901,LEE,"-81.88521757,26.62300636",17R MK 11879 44985,,,FOOD BANK,-9115420.723319756,3076449.81516649
FEEDING NE FLORIDA,1116 EDGEWOOD AVE N,JACKSONVILLE,32254,DUVAL,"-81.73280465,30.34106014",17R MP 29564 56806,,,FOOD BANK,-9098454.194292689,3547465.711023793
